StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_DuplicateRespondent,Last Seen Flow Element ID,Last Seen Question IDs,CONSENT,SCR_AGE,SCR1,VIG_TIME_First Click,VIG_TIME_Last Click,VIG_TIME_Page Submit,VIG_TIME_Click Count,VIG_TIME_First Click.1,VIG_TIME_Last Click.1,VIG_TIME_Page Submit.1,VIG_TIME_Click Count.1,VIG_TIME_First Click.2,VIG_TIME_Last Click.2,VIG_TIME_Page Submit.2,VIG_TIME_Click Count.2,VIG_TIME_First Click.3,VIG_TIME_Last Click.3,VIG_TIME_Page Submit.3,VIG_TIME_Click Count.3,CC1,CC2,AIP1,AIP2,AIP3,AIP4,AIP5,AIP6,REL1,REL2,REL3,REL4,INT1,INT2,INT3,INT4,INT5,ATT1,TRU1,TRU2,TRU3,TRU4,TRU5,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ATT2,PI1,PI2,PI3,PDPL1,PDPL2,PDPL3,PDPL4,MC_AIP,MC_DISC,AGE_BAND,GEN,EDU,INC,FREQ,PLAT,PLAT_5_TEXT,PRIOR,CHAN,CELL,AIP_COND,DISC_COND
2026-08-19 21:46:49,2026-08-19 21:47:23,0,,100,33,1,2026-08-19 21:47:23,R_4dmgBfI1JFzFSpP,,,,,,,anonymous,VI,,FL_36,,1,1,1,1.877,17.911,17.915,3,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2026-08-19 21:35:20,2026-08-19 21:55:05,0,,100,1185,1,2026-08-19 21:55:05,R_9wdbQCe2ajupwnQ,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,16.414,16.414,16.42,1,,,,,,,,,1,1,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,5,5,5,5,4,5,1,2,2,6,1,5,2,3,4,2,7,7,7,7,5,5,1,1,3,1,3,1,,4,"1,3",2,0,1
2026-08-19 23:42:37,2026-08-19 23:52:38,0,,100,600,1,2026-08-19 23:52:38,R_9G1yBz2MUefnICy,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,33.521,72.066,72.07,4,,,,,,,,,1,1,5,6,5,6,5,5,5,5,6,6,2,2,1,1,2,5,5,4,4,4,4,4,5,5,6,3,4,2,6,5,5,7,6,6,6,6,6,1,1,3,2,3,3,,3,"1,3,5",2,0,1
2026-08-20 01:51:56,2026-08-20 01:52:37,0,,100,41,1,2026-08-20 01:52:38,R_9rbF9VGMtVeN8oV,,,,,,,anonymous,VI,,FL_34,,1,1,1,,,,,,,,,,,,,18.913,18.913,18.916,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1
2026-08-20 01:52:45,2026-08-20 01:53:37,0,,100,51,1,2026-08-20 01:53:37,R_4tJ8EXv86rtjnV4,,,,,,,anonymous,VI,,FL_32,,1,1,1,16.019,16.019,16.024,1,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2026-08-20 01:53:49,2026-08-20 01:54:34,0,,100,44,1,2026-08-20 01:54:34,R_4ymdWoMuOIe8RhS,,,,,,,anonymous,VI,,FL_34,,1,1,1,,,,,,,,,,,,,15.876,15.876,15.879,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1
2026-08-20 01:57:46,2026-08-20 02:05:56,0,,100,490,1,2026-08-20 02:05:57,R_9Ey7xHlhrjLzRYM,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,21.028,21.028,21.037,1,,,,,2,2,6,6,7,5,4,5,6,6,7,5,4,6,4,6,7,5,6,4,4,5,5,3,6,5,5,3,4,2,6,5,5,7,7,7,7,6,4,1,1,1,1,4,3,,3,"1,3",3,1,0
2026-08-20 03:24:12,2026-08-20 03:32:33,0,,100,501,1,2026-08-20 03:32:34,R_4uWxYjXZTCGOo6Z,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,28.992,28.992,29.01,1,,,,,,,,,1,1,2,4,4,2,4,6,5,4,5,5,3,2,2,2,3,5,5,5,5,5,5,4,5,5,6,4,5,2,5,4,4,7,7,7,7,2,7,3,2,3,4,4,1,,4,"1,2,4",2,0,1
2026-08-20 05:03:17,2026-08-20 05:05:37,0,,100,139,1,2026-08-20 05:05:37,R_4N4VPPoAUgbBunC,,,,,,,anonymous,VI,,FL_38,,1,1,1,,,,,,,,,,,,,26.211,26.211,26.222,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1
2026-08-20 05:07:13,2026-08-20 05:07:26,0,,100,13,1,2026-08-20 05:07:26,R_9c50geIjnLS7H1L,,,,,,,anonymous,VI,,FL_EOS_ID,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-08-20 05:07:33,2026-08-20 05:14:13,0,,100,400,1,2026-08-20 05:14:14,R_4mo2jgdghAwj3yN,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,18.313,18.313,18.318,1,,,,,2,2,7,7,7,7,7,7,7,7,7,7,1,1,3,1,1,5,7,7,7,7,7,6,5,6,5,6,5,2,6,7,6,7,7,5,7,7,3,1,2,1,1,4,3,,3,"3,5",3,1,0
2026-08-20 05:27:22,2026-08-20 05:45:25,0,,100,1083,1,2026-08-20 05:45:26,R_90esHFVNNmqVBts,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,7.465,17.529,17.534,8,,,,,,,,,,,,,1,2,1,1,1,1,1,1,6,4,5,5,2,2,2,1,1,5,3,4,3,4,4,4,4,5,5,3,4,2,5,5,5,3,3,3,3,1,1,1,1,2,1,2,1,,4,1,1,0,0
2026-08-20 06:31:17,2026-08-20 06:41:05,0,,100,588,1,2026-08-20 06:41:06,R_9VquKYQbGmPF6dX,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,13.59,20.774,20.786,7,,,,,,,,,1,1,6,7,5,6,7,5,4,5,6,5,2,2,1,4,1,5,6,4,4,6,5,4,4,4,7,4,4,2,5,4,7,5,1,2,7,5,7,1,2,3,1,2,1,,4,1,2,0,1
2026-08-20 07:05:34,2026-08-20 07:19:43,0,,100,849,1,2026-08-20 07:19:43,R_47EuVfRX5e6RcE9,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,6.405,79.163,79.179,11,,,,,,,,,,,,,1,2,6,5,6,4,6,5,6,6,6,6,3,4,5,4,5,5,5,3,3,4,4,6,6,6,6,6,6,2,5,4,5,3,3,5,5,5,6,2,1,1,2,3,1,,4,1,1,0,0
2026-08-20 07:17:23,2026-08-20 07:23:19,0,,100,355,1,2026-08-20 07:23:19,R_9c8wQQF2WrceDn3,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,45.552,61.376000000000005,61.383,2,,,,,2,2,7,7,7,7,6,6,7,6,6,6,7,6,7,7,7,6,7,7,7,6,6,7,6,6,7,7,6,2,7,7,7,6,6,6,6,7,7,1,1,3,2,3,1,,3,"1,3,5",3,1,0
2026-08-20 07:23:56,2026-08-20 07:24:40,0,,100,43,1,2026-08-20 07:24:40,R_9ohyTEpZAmFAczw,,,,,,,anonymous,VI,,FL_16,,1,1,1,,,,,15.381,16.467,16.472,2,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1
2026-08-20 07:13:44,2026-08-20 07:26:23,0,,100,758,1,2026-08-20 07:26:24,R_9k6elAUWAiXQZIH,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,35.734,35.734,35.777,1,,,,,,,,,1,1,3,4,4,2,5,1,5,5,5,4,1,1,1,2,1,5,4,7,6,7,6,6,4,6,5,4,2,2,5,5,6,2,3,6,6,4,7,1,2,3,1,1,1,,4,"1,2",2,0,1
2026-08-20 07:17:14,2026-08-20 07:29:21,0,,100,727,1,2026-08-20 07:29:22,R_4dsBQA0V5KF2j0t,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,65.293,111.97400000000002,111.97800000000001,3,2,1,6,6,4,6,4,5,6,6,5,5,4,2,4,3,4,5,5,4,3,5,5,5,4,5,4,4,4,2,5,5,5,6,6,6,5,5,6,1,2,3,1,3,1,,4,"1,3,4,5",4,1,1
2026-08-20 07:49:49,2026-08-20 08:01:44,0,,100,714,1,2026-08-20 08:01:45,R_9AiiZp2idCp0b1D,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,16.843,16.843,16.877,1,,,,,2,2,2,2,2,3,2,2,1,1,1,1,5,6,2,2,6,5,2,4,3,4,4,2,2,4,4,2,4,2,1,1,1,5,3,7,7,1,1,1,1,3,2,3,3,,3,"1,2,3",3,1,0
2026-08-20 08:00:54,2026-08-20 08:07:10,0,,100,376,1,2026-08-20 08:07:11,R_4VUu5KKaDZYogWR,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,26.337,57.559,57.564,5,,,,,,,,,1,1,4,4,4,4,4,4,5,5,5,5,3,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,4,4,4,2,1,,4,"1,3",2,0,1
2026-08-20 08:01:09,2026-08-20 08:10:26,0,,100,557,1,2026-08-20 08:10:26,R_4O82EZbYEn9iHbN,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,3.094,62.815000000000005,62.851000000000006,9,,,,,,,,,,,,,1,2,5,5,5,5,5,5,3,3,5,6,5,5,5,3,5,5,5,5,5,5,3,3,5,3,3,5,5,2,3,5,5,6,6,7,5,3,5,1,2,1,1,3,1,,3,"1,2,3",1,0,0
2026-08-20 08:08:32,2026-08-20 08:12:52,0,,100,260,1,2026-08-20 08:12:53,R_4Few8asBWbY0ZGx,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,18.877,18.877,18.883,1,,,,,2,2,5,3,5,5,5,5,2,3,1,5,5,4,2,5,3,5,5,2,3,5,5,5,2,4,2,5,3,2,3,5,2,4,3,5,3,5,2,1,4,2,3,1,2,,1,"2,3,4",3,1,0
2026-08-20 08:12:30,2026-08-20 08:17:06,0,,100,276,1,2026-08-20 08:17:07,R_9g89G8sx397pWX0,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,38.121,38.121,38.13,1,2,1,6,6,6,6,5,4,6,6,6,4,1,1,1,2,1,5,6,6,6,4,5,7,7,7,5,7,7,2,7,7,7,7,6,7,7,7,7,1,3,4,3,4,2,,3,"1,2",4,1,1
2026-08-20 09:07:55,2026-08-20 09:12:52,0,,100,296,1,2026-08-20 09:12:52,R_4kdNNaxoQyT1L7G,,,,,,,anonymous,VI,,FL_38,,1,1,1,,,,,24.356,24.356,24.376,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1
2026-08-20 09:06:15,2026-08-20 09:14:25,0,,100,490,1,2026-08-20 09:14:25,R_4FQe8b7KFtZN2c1,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,4.374,76.328,76.344,14,,,,,,,,,,,,,1,2,4,4,4,4,4,4,5,5,5,5,4,4,2,3,3,5,4,5,5,6,5,4,4,4,6,4,4,2,5,4,5,7,7,7,7,1,1,1,2,3,2,5,3,,3,"1,3",1,0,0
2026-08-20 09:17:04,2026-08-20 09:18:31,0,,100,87,1,2026-08-20 09:18:32,R_4RpdADY9kUYIZs5,,,,,,,anonymous,VI,,FL_36,,1,1,1,,,,,,,,,19.096,41.114000000000004,41.123999999999995,2,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-08-20 09:18:43,2026-08-20 09:19:52,0,,100,68,1,2026-08-20 09:19:53,R_9kuji0aRhA3bA13,,,,,,,anonymous,VI,,FL_38,,1,1,1,,,,,37.975,37.975,37.983,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1
2026-08-20 09:20:13,2026-08-20 09:20:58,0,,100,44,1,2026-08-20 09:20:58,R_9P6YEzr3ffCdlUx,,,,,,,anonymous,VI,,FL_36,,1,1,1,21.726,21.726,21.734,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
2026-08-20 09:21:35,2026-08-20 09:27:21,0,,100,346,1,2026-08-20 09:27:21,R_4X30M6itvAp3Oj7,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,7.483,32.374,32.402,4,,,,,2,2,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,5,5,7,4,6,4,4,4,6,4,4,4,2,4,4,4,7,7,7,7,7,7,1,2,3,2,5,1,,4,1,3,1,0
2026-08-20 07:47:45,2026-08-20 12:44:57,0,,100,17832,1,2026-08-20 12:44:58,R_9P5vq3tbltJOhSx,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,8.615,185.626,185.65300000000002,5,2,1,6,6,5,6,6,4,5,6,7,5,3,2,1,2,2,5,7,6,5,6,6,6,5,6,5,6,7,2,6,5,7,6,4,7,5,6,7,1,2,3,2,3,1,,4,"1,3,5",4,1,1
2026-08-20 22:42:07,2026-08-20 22:48:01,0,,100,353,1,2026-08-20 22:48:02,R_4V0jqvY3IwC3w5z,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,15.952,15.952,15.963,1,2,1,6,6,5,7,6,6,5,6,5,5,3,2,2,2,2,5,6,6,3,6,6,6,6,6,6,6,6,2,5,6,5,5,6,5,6,6,6,1,1,3,1,3,1,,4,"1,3",4,1,1
2026-08-21 01:37:05,2026-08-21 01:39:15,0,,100,130,1,2026-08-21 01:39:16,R_44GU8LTd6PT4d8w,,,,,,,anonymous,VI,,FL_16,,1,1,1,,,,,,,,,30.263,30.263,30.278,1,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-08-21 01:40:13,2026-08-21 01:41:20,0,,100,66,1,2026-08-21 01:41:20,R_4QWONtEmXfpFLic,,,,,,,anonymous,VI,,FL_34,,1,1,1,,,,,,,,,,,,,16.55,16.55,16.557,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1
2026-08-22 05:43:53,2026-08-22 05:48:21,0,,100,267,1,2026-08-22 05:48:21,R_4VjAZb2ZtgWElcy,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,26.321,43.16,43.195,3,,,,,,,,,1,1,3,7,5,3,5,5,6,5,5,5,3,5,6,4,2,5,3,6,5,6,2,3,3,3,2,2,5,2,7,2,3,7,2,5,5,5,3,1,2,1,4,5,3,,3,"1,2,3,4,5",2,0,1
2026-08-22 06:23:15,2026-08-22 06:25:14,0,,100,118,1,2026-08-22 06:25:14,R_4Ulnbjud632OetP,,,,,,,anonymous,VI,,FL_36,,1,1,1,,,,,,,,,29.846,29.846,29.852,1,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
2026-08-22 06:26:03,2026-08-22 06:32:02,0,,100,359,1,2026-08-22 06:32:02,R_9ee2tkXIyDpdTma,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,23.203,23.203,23.208,1,,,,,,,,,,,,,1,2,1,1,1,1,1,1,4,4,4,3,2,1,3,3,3,5,2,3,5,4,4,4,4,4,5,3,4,2,5,4,5,4,6,6,6,3,1,1,2,1,1,3,1,,4,1,1,0,0
2026-08-22 07:19:10,2026-08-22 07:25:27,0,,100,377,1,2026-08-22 07:25:28,R_4dLbEGb48BzBYAj,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,16.406,28.96,28.976,5,2,1,5,6,6,6,5,4,5,6,5,6,4,4,5,4,5,5,5,4,3,4,5,5,5,5,6,4,4,2,6,6,6,6,4,4,4,6,5,1,1,3,1,3,1,,4,1,4,1,1
2026-08-22 07:51:55,2026-08-22 07:54:21,0,,100,145,1,2026-08-22 07:54:22,R_4ZQY40c89VXh0xD,,,,,,,anonymous,VI,,FL_34,,1,1,1,,,,,,,,,,,,,13.352,77.17599999999999,77.19,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1
2026-08-22 07:50:48,2026-08-22 07:56:43,0,,100,354,1,2026-08-22 07:56:43,R_4qUbM23JDgYe8sL,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,17.449,17.449,17.454,1,,,,,,,,,,,,,1,2,2,2,2,2,2,2,3,2,2,3,5,5,4,6,4,5,3,3,3,2,2,6,6,6,5,6,5,2,2,3,3,6,6,6,6,1,1,1,1,3,1,3,1,,3,"1,3",1,0,0
2026-08-22 08:40:21,2026-08-22 08:48:19,0,,100,477,1,2026-08-22 08:48:19,R_44C9IMJXgjJCqD7,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,6.165,43.101,43.112,2,,,,,,,,,1,1,5,5,6,5,5,5,6,6,6,6,6,7,6,4,7,5,5,4,3,4,4,4,4,5,4,3,5,2,5,4,5,6,7,7,6,5,4,1,1,1,1,1,1,,3,1,2,0,1
2026-08-22 08:48:14,2026-08-22 08:52:12,0,,100,238,1,2026-08-22 08:52:13,R_9DZ5w004JGTogsW,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,,,,,,,,,,,,,6.321,32.120000000000005,32.123,9,2,1,4,5,5,5,7,5,5,6,6,5,6,5,6,7,6,5,7,5,6,6,6,6,5,5,5,5,4,2,6,5,5,7,4,6,7,6,5,1,1,3,1,5,1,,4,"1,3",4,1,1
2026-08-23 11:08:28,2026-08-23 11:12:39,0,,100,251,1,2026-08-23 11:12:39,R_9q3K9E5Pi3IamgK,,,,,,,anonymous,VI,,FL_EOS_ID,,1,1,1,9.868,46.176,46.19,9,,,,,,,,,,,,,1,2,4,5,3,5,3,5,6,4,2,5,4,6,4,6,4,5,5,4,4,6,5,4,5,4,4,5,5,2,4,2,4,4,4,5,5,5,4,1,1,3,6,4,1,,4,"1,3,5",1,0,0
